No,	Ar_name, Ar_transliteration,	Pronunciation,	Meaning(En)
74,	اَلْأَخِر‎ ,(al-ʾaḵir)	,IPA(key): /al.ʔa.xir/,	The Last / The Endless
74,	 اَلْآخِر‎ ,(al-ʾāḵir)	,IPA(key): /al.ʔaː.xir/,	The Last / The Endless
75,	اَلظَّاهِر‎ ,(aẓ-ẓāhir)	,IPA(key): /aðˤ.ðˤaː.hir/,	The Manifest / The Evident / The Outer
76,	اَلْبَاطِن‎ ,(al-bāṭin)	,IPA(key): /al.baː.tˤin/,	The Hidden / The Unmanifest / The Inner
77,	اَلْوَالِي‎ ,(al-wālī)	,IPA(key): /al.waː.liː/,	The Patron/ The Protecting Friend / The Friendly Lord
78,	اَلْمُتَعَالِي‎ ,(al-mutaʿālī)	,IPA(key): /al.mu.ta.ʕaː.liː/,	The Supremely Exalted / The Most High
79,	اَلْبَرّ‎ ,(al-barr)	,IPA(key): /al.barr/,	The Good/ The Beneficent / The Source of All Goodness
80,	اَلتَّوَّاب‎ ,(at-tawwāb)	,IPA(key): /at.taw.waːb/,	The Ever-Returning / Ever-Relenting / The Acceptor of Repentance
81,	اَلْمُنْتَقِم‎ ,(al-muntaqim)	,IPA(key): /al.mun.ta.qim/,	The Avenger
82,	اَلْعَفُوّ‎ ,(al-ʿafuww)	,IPA(key): /al.ʕa.fuww/,	The Pardoner / The Effacer / The Forgiver
83,	اَلرَّؤُوف‎ ,(ar-raʾūf)	,IPA(key): /ar.ra.ʔuːf/,	The Kind / The Pitying / The Compassionate
84,	مَالِك الْمُلْك‎ ,(mālik al-mulk)	,IPA(key): /maː.lik al.mulk/,	The Owner of all Sovereignty
85,	ذُو ٱلْجَلَالِ وَٱلْإِكْرَام‎ ,(ḏū l-jalāli wal-ʾikrām)	,IPA(key): /ðu‿l.d͡ʒa.laː.li wal.ʔik.raːm/,	The Owner / Lord of Majesty and Honour
86,	اَلْمُقْسِط‎ ,(al-muqsiṭ)	,IPA(key): /al.muq.sitˤ/,	The Equitable / The Requiter
87,	اَلْجَامِع‎ ,(al-jāmiʿ)	,IPA(key): /al.d͡ʒaː.miʕ/,	The Gatherer / The Unifier
88,	اَلْغَنِيّ‎ ,(al-ḡaniyy)	,IPA(key): /al.ɣa.nijj/,	The Rich/ The Independent / The Self-Sufficient
89,	اَلْمُغْنِي‎ ,(al-muḡnī)	,IPA(key): /al.muɣ.niː/,	The Enricher / The Emancipator
90,	اَلْمَانِع‎ ,(al-māniʿ)	,IPA(key): /al.maː.niʕ/,	The Preventer / The Withholder / The Shielder / The Defender
91,	اَلضَّار‎ ,(aḍ-ḍār)	,IPA(key): /adˤ.dˤaːr/,	The Distressor / The Harmer / The Afflictor
92,	اَلنَّافِع‎ ,(an-nāfiʿ)	,IPA(key): /an.naː.fiʕ/,	The Propitious / The Benefactor / The Source of Good
93,	اَلنُّور‎ ,(an-nūr)	,IPA(key): /an.nuːr/,	The Light
94,	اَلْهَادِي‎ ,(al-hādī)	,IPA(key): /al.haː.diː/,	The Guide / The Way
95,	اَلْبَدِيع‎ ,(al-badīʿ)	,IPA(key): /al.ba.diːʕ/,	The Originator / The Incomparable/ The Unattainable/ The Beautiful
96,	اَلْبَاقِي‎ ,(al-bāqī)	,IPA(key): /al.baː.qiː/,	The Immutable / The Infinite/ The Everlasting
97,	اَلْوَارِث‎ ,(al-wāriṯ)	,IPA(key): /al.waː.riθ/,	The Heir / The Inheritor of All
98,	اَلرَّشِيد‎ ,(ar-rašīd)	,IPA(key): /ar.ra.ʃiːd/,	The Guide to the Right Path
99,	اَلصَّبُور‎ ,(aṣ-ṣabūr)	,IPA(key): /asˤ.sˤa.buːr/, The Timeless/ The Patient
XX,	اَلْجَمِيل‎ ,(al-jamīl)	,IPA(key): /al.d͡ʒa.miːl/,	The Beautiful
XX,	اَلْكَافِي‎ ,(al-kāfī)	,IPA(key): /al.kaː.fiː/,	The All-sufficient
XX,	اَلْمَنَّان‎ ,(al-mannān)	,IPA(key): /al.man.naːn/,	The Benevolent
XX,	اَلنَّاصِر‎ ,(an-nāṣir)	,IPA(key): /an.naː.sˤir/,	The Helper / The Protector
XX,	اَلْقَاهِر‎ ,(al-qāhir)	,IPA(key): /al.qaː.hir/,	The Subduer / The Conqueror
XX,	اَلرَّبّ‎ ,(ar-rabb)	,IPA(key): /ar.rabb/,	The Lord
XX,	اَلسَّتَّار‎ ,(as-sattār)	,IPA(key): /as.sat.taːr/,	The Veiler of Sin / The one Who Covers Sins
XX,	اَلسُّلْطَان‎ ,(as-sulṭān)	,IPA(key): /as.sul.tˤaːn/,	The Sovereign / The Ruler
